event_id_cnty;event_date;year;time_precision;disorder_type;event_type;sub_event_type;actor1;assoc_actor_1;inter1;actor2;assoc_actor_2;inter2;interaction;civilian_targeting;iso;region;country;admin1;admin2;admin3;location;latitude;longitude;geo_precision;source;source_scale;notes;fatalities;tags;timestamp
NIG6157;"15 July 2014";2014;1;"Political violence";Battles;"Armed clash";"Unidentified Armed Group (Nigeria)";;3;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;23;;566;"Western Africa";Nigeria;Adamawa;Gombi;;Gombi;10.1614;12.7399;1;"Daily Independent (Nigeria)";National;"Suspected Boko Haram abduct a German national outside his home during the morning hours in the Anguwan Faransa neighbourhood. Demands for his release not known. The abducted is a teacher. Following the abduction two members of a local organized militia group pursued the captors, but were shot and killed as they fled.";2;;1617065404
NIG6159;"15 July 2014";2014;1;"Political violence";"Violence against civilians";"Abduction/forced disappearance";"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;"Civilians (Germany)";"Teachers (Germany)";7;27;"Civilian targeting";566;"Western Africa";Nigeria;Adamawa;Gombi;;Gombi;10.1614;12.7399;1;"Daily Independent (Nigeria)";National;"Suspected Boko Haram abduct a German national outside his home during the morning hours in the Anguwan Faransa neighbourhood. Demands for his release not known. The abducted is a teacher. Following the abduction two members of a local organized militia group pursued the captors, but were shot and killed as they fled.";0;;1617065404
NIG6149;"14 July 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;"Askira Uba";;Dille;10.7563;13.2129;1;"Sun (Nigeria)";National;"Following an attack on Dalle village which killed several residents the military launched an air raid on the fleeing attackers. Causalities of the air attack are not clear.";0;;1618566585
NIG6142;"09 July 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Guzamala;;Bulabulin;12.6611;13.2795;2;"Daily Trust (Nigeria)";National;"Gunmen suspected to be Boko Haram members ambushed soldiers from the 7 Division of the Nigerian Army who were on their way to Damboa, 85 kilometres from Maiduguri. Sources said two soldiers were feared killed while some of them were injured. The soldiers were ambushed near Kwamala village after Dalwa. Other report that 'scores' of Boko Haram agents were killed in the battle.";2;;1617065405
NIG6123;"06 July 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";"Police Forces of Nigeria (1999-2015)";1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Marte;;Kirinowa;12.4238;13.9248;1;AFP;International;"Suspected Boko Haram disguised in army uniforms killed seven people in an attack near the northeastern border with Cameroon. The gunmen, five of whom were also killed, razed a police station, a military camp and other buildings.";12;;1617065403
NIG6124;"06 July 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Kaduna;"Kaduna South";;"Kaduna South";10.4751;7.4196;1;"Daily Independent (Nigeria)";National;"A suspected member of Boko Haram (later identified as a 'kingpin' is killed in a shootout with security operatives in the Kinkino area of Kaduna South. The gun exchange was said to have lasted for a few hours, causing panic among the residents of the area.";1;;1617065404
NIG6119;"05 July 2014";2014;2;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Bama;;Banki;11.2551;14.1482;1;Xinhua;International;"Nigerian military in its latest offensive against Boko Haram Islamic Sect has cleared and taken over Balmo forest (a portion of Sambisa, including Banki and Miyanti) in an operation that lasted throughout the weekend. Six soldiers and 44 Boko Haram fighters reportedly killed in the Kerenoa, Banki and Miyanti areas.";16;;1617065413
NIG6098;"01 July 2014";2014;1;"Political violence";Battles;"Armed clash";"Police Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Shani;;Shani;10.2167;12.05;1;"Nigeria Tribune";National;"Gunmen suspected to be members of the Boko Haram sect, attacked and razed the police station in Shani, the headquarters of Shani Local Government Area of Borno State and made away with a patrol vehicle of the station, as well as other armaments. The resident said the gunmen did not attack any place apart from the police station, adding that people fled into the bush for fear of attack. No loss of life reported.";0;;1617065407
NIG6086;"29 June 2014";2014;1;"Political violence";Battles;"Armed clash";"Unidentified Armed Group (Nigeria)";;3;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;23;;566;"Western Africa";Nigeria;Borno;Chibok;;Kwada;10.8856;12.7043;1;AP;International;"Suspected Islamic extremists sprayed gunfire at worshippers and torched four churches in a village just miles from Chibok. A local militia repelled the attackers in some measure - the soldiers refused to confront the extremists directly, only shooting at them from a distance outside the village. The attack is believed to be in conjunction with a twin attack in Kautikari. At least 30 dead in Kwada.";30;;1617065404
NIG6076;"25 June 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;"Federal Capital Territory";"Abuja Municipal";;Abuja;9.0833;7.5333;1;"Vanguard (Nigeria)";National;"Following two explosions at an Abuja shopping mall, security forces locate a perpetrator attempting to detonate a third explosive at Emab Plaza, shoot and kill the suspect.";1;;1617065411
NIG6072;"24 June 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Guzamala;;Bulabulin;12.6611;13.2795;1;"Vanguard (Nigeria)";National;"No fewer than 16 security operatives, including soldiers and dozens of suspected members of Boko Haram militants were reportedly killed Tuesday night, when insurgents attacked a military post in Bulabulin Ngaura in Damboa Local Government Area of Borno State.";16;;1617065412
NIG6060;"23 June 2014";2014;1;"Political violence";Battles;"Armed clash";"Military Forces of Nigeria (1999-2015)";;1;"Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad";;2;12;;566;"Western Africa";Nigeria;Borno;Gwoza;;"Sambisa Forest Reserve";11.25;13.4167;2;"Vanguard (Nigeria)";National;"Military Forces kill 70 Boko Haram insurgents in air raids near Sambisa Forest. Those attacked are believed to have a connection to attacks in Chuha A, Chuha B, and Korongilim the previous day.";70;;1617065411
